name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Stephen Curry","Golden State Warriors",2015-12-08,2015,3975,1610612744,400828201,1,10,43,1,"Alley Oop Layup shot","2PT Field Goal",0,"Indiana Pacers",1,-5,0,0.40,"Hill, George",1.50,11.70
"Stephen Curry","Golden State Warriors",2016-01-30,2015,3975,1610612744,400828594,3,7,22,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Philadelphia 76ers",4,26,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-10-27,2015,3975,1610612744,400827890,1,10,56,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",3,"New Orleans Pelicans",12,31,0,0.50,"Perkins, Kendrick",1.10,4.90
"Stephen Curry","Golden State Warriors",2016-04-13,2015,3975,1610612744,400829114,3,1,27,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",10,21,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-12-06,2015,3975,1610612744,400828187,1,2,44,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Brooklyn Nets",25,7,0,0.70,"Larkin, Shane",5.70,19.10
"Stephen Curry","Golden State Warriors",2016-04-10,2015,3975,1610612744,400829088,2,11,13,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"San Antonio Spurs",10,-1,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-20,2015,3975,1610612744,400828521,1,6,12,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Chicago Bulls",-6,2,0,1.00,"Rose, Derrick",3.50,12.60
"Stephen Curry","Golden State Warriors",2015-10-27,2015,3975,1610612744,400827890,3,7,35,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",-7,13,0,0.00,"Smith, Ish",4.30,17.00
"Stephen Curry","Golden State Warriors",2016-02-20,2015,3975,1610612744,400828709,1,6,11,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",9,16,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-03-19,2015,3975,1610612744,400828923,2,3,53,0,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"San Antonio Spurs",-1,8,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-13,2015,3975,1610612744,400828470,1,10,37,0,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Denver Nuggets",-17,-1,0,0.00,"Faried, Kenneth",2.00,13.50
"Stephen Curry","Golden State Warriors",2016-03-14,2015,3975,1610612744,400828883,3,5,33,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",12,13,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-22,2015,3975,1610612744,400828539,4,6,32,1,"Cutting Layup Shot","2PT Field Goal",2,"Indiana Pacers",20,7,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-03-06,2015,3975,1610612744,400828818,3,8,41,0,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",10,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-03-06,2015,3975,1610612744,400828818,4,8,15,1,"Cutting Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",4,-6,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-12-25,2015,3975,1610612744,400828325,1,3,14,1,"Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",4,7,0,0.70,"Dellavedova, Matthew",3.10,24.00
